SchoolName,PhysicalAddress,PostalAddress,Email
Areyonga School,"wsw of Hermannsburg, 224km from Alice Springs, Areyonga, NT","Areyonga, via Alice Springs, 0872, NT",areyonga.school@education.nt.gov.au
Zuccoli Primary School,"130 Zuccoli Parade, Zuccoli, 0830, NT","PO Box 2222, PALMERSTON, 0832, NT",ZuccoliPrimary@ntschools.net
Yulara School,"21 Winmati St, Yulara, 0872, NT","PO Box 146, Yulara, 0872, NT",yulara.school@education.nt.gov.au
Yuendumu School,"Conniston Rd, Yuendumu, NT","C/ - Post Office, Yuendumu, 0870, NT",admin.yuendumu@education.nt.gov.au
Yuendumu Pre School,"Conniston Road, Yuendumu, NT",", , , ",
Yirrkala School,"Rankine Road, Yirrkala, NT","PO Box 896, Nhulunbuy, 0881, NT",admin.yirrkala@ntschools.net
Yirrkala Pre School,"Rankine Road, Yirrkala, NT",", , , ",
Yirara College,"470 South Stuart Highway, Alice Springs, NT","PMB 51, Alice Springs, 0871, NT",info@yirara.nt.edu.au
Yarralin School,"N/A, Yarralin, NT","PMB 34, via Katherine, 0851, NT",zoe.richardson@education.nt.gov.au
Yipirinya School,"Lovegrove Dr, Alice Springs, NT","C/- Yipirinya School Council Inc, PO Box 2363, Alice Springs, 0871, NT",reception.yipirinya.ntschools.net
Xavier Catholic College,"Kerinauia Hwy, Nguiu, NT","PMB 139,, via Winnellie, 0822, NT",admin.xcec@nt.catholic.edu.au
Wurankuwu Homeland Learning Centre,"Community ID 868, Wurankuwu, NT","Nguiu, Bathurst Island, 0822, NT",tba
Wulagi Primary School,"24 Brolga St, Wulagi, 0812, NT","24 Brolga St, WULAGI, 0812, NT",wulagi.primary@education.nt.gov.au
Wulagi Pre School,"24 Brolga St, Wulagi, NT",", , , ",
Wugularr School,"Laiwanga St, Wugularr, NT","PMB 6, Katherine, 0851, NT",admin.wugulsch@education.nt.gov.au
Woolianna School,"Wooliana Rd, Daly River, NT","PMB 194, Winnellie, 0821, NT",woolianna.school@education.nt.gov.au
Woolaning School,"Litchfield Park Rd, Litchfield Park, NT","PO Box 3261, Palmerston, 0831, NT",admin.woolasch@education.nt.gov.au
Woodroffe Primary School,"55 Woodroffe Ave, Woodroffe, 0830, NT","PO Box 2021, PALMERSTON, 0831, NT",woodroffe.ps@education.nt.gov.au
Woodroffe Pre School,"55 Woodroffe Ave, Woodroffe, NT",", , , ",
Willowra School,"N/A, Willowra, NT","PMB 102, via Alice Springs, 0872, NT",willowra.school@education.nt.gov.au
Watiyawanu School,"N/A, Mt Liebig, NT","PMB 111, via Alice Springs, 0872, NT",l.kenny@education.nt.gov.au
Watarrka School,"n/a, Lilla Community, NT","Education Stores, Shed 9, 66A Smith St, Alice Springs, 0870, NT",tba
Warruwi School,"N/A, Warruwi (Goulburn Island), 0822, NT","PMB 90, via WINNELLIE, 0821, NT",tim.delphine@education.nt.gov.au
Wanguri Primary School,"46 Gsell St, Wanguri, 0810, NT","PO Box 40519, CASUARINA, 0811, NT",wanguri.prim@education.nt.gov.au
Wanguri Pre School,"46 Gsell St, Wanguri, NT",", , , ",
Walungurru School,"N/A, Walungurru (Kintore), NT","PMB 14, via Alice Springs, 0872, NT",walungurru.school@education.nt.gov.au
Wallace Rockhole School,"N/A, Wallace Rockhole, NT","PO Box 2256, Alice Springs, 0871, NT",wallace.rockhole@education.nt.gov.au
Wagaman Primary School,"35 Wagaman Tce, Wagaman, 0810, NT","PO Box 40019, CASUARINA, 0811, NT",wagaman.school@education.nt.gov.au
Wagaman Pre School,"35 Wagaman Tce, Wagaman, NT",", , , ",
Urapunga School,"Blyth St, Rittarangu (Urapunga), NT","PMB 12, via Katherine, 0852, NT",craig.watkins@education.nt.gov.au
Top End School of Flexible Learning,"1 Malak Place, Malak, 0812, NT","PO Box 703, Karama, 0812, NT",malakrc.det@education.nt.gov.au
Tiwi College,"Pickertaramoor Melville Island, , NT","LMB 127, Winnellie, 0822, NT",admin.tiwicollege@ntschools.net
Tivendale School,"Tivendale Road, Berrimah, 0828, NT","PO Box 703, Karama, 0812, NT",matt.watson@education.nt.gov.au
Titjikala School,"N/A, Titjikala (Maryvale), NT","PMB 130, via Alice Springs, 0872, NT",nanci.morrison@education.nt.gov.au
Tipperary Station School,"Daly River Road, Tipperary, NT","PMB 214, via Winnellie, 0822, NT",carla.clough@education.nt.gov.au
Timber Creek School,"62 Wilson St, Timber Creek, NT","PMB 115, via Katherine, 0851, NT",timbercreek.admin@education.nt.gov.au
Ti Tree School,"26 Palmer St, Ti-Tree, NT","Locked Bag 257,, Ti Tree, via Alice Springs, 0872, NT",anthony.smith@education.nt.gov.au
The Essington International School Darwin,"22 Chapman Rd, Rapid Creek, NT","PO Box 42321, Casuarina, 0811, NT",administration@essington.nt.edu.au
Tennant Creek Primary School,"31 Paterson St, Tennant Creek, 0860, NT","PO Box 506, Tennant Creek, 0861, NT",admin.tennasch@education.nt.gov.au
Tennant Creek Pre School,"31 Paterson St, Tennant Creek, NT",", , , ",
Stuart Park Primary School,"8 Nudl St, Stuart Park, 0820, NT","PO Box 37421, Winnellie, 0831, NT",stuartpark.school@education.nt.gov.au
Tennant Creek High School,"38 Stuart St, Tennant Creek, NT","PO Box 546, Tennant Creek, 0861, NT",admin.tchs@education.nt.gov.au
Stuart Park Pre School,"8 Nudl St, Stuart Park, NT",", , , ",
Taminmin College,"70 Challoner Cct, Humpty Doo, NT","PO Box 21, HUMPTY DOO, 0836, NT",admin.taminmin@education.nt.gov.au
Stirling School,"N/A, Wilora (Stirling Station) 0872, NT","c/- Ti Tree Post Office, Ti Tree, 0872, NT",steve.nankivell@education.nt.gov.au
St Philip's College,"2 Ulpaya Rd, Alice Springs, NT","PO Box 33, Alice Springs, 0871, NT",info@stphilips.nt.edu.au
St Paul's Catholic Primary School,"41 Francis St, Rapid Creek, NT","PO Box 40344, Casuarina, 0811, NT",admin.stpauls@nt.catholic.edu.au
St Mary's Catholic Primary School,"3 Lindsay St, Darwin City, NT","PO Box 2413, Darwin, 0801, NT",admin.stmarys@nt.catholic.edu.au
St Joseph's Catholic Flexible Learning Centre,"5 Bloomfield Street, Alice Springs, 0870, NT","P O Box 2991, Alice Springs, 0871, NT",sjcflc@ereafsn.edu.au
St Joseph's Catholic College,"Maluka Rd, Katherine East, NT","PO Box 535, Katherine, 0850, NT",admin.stjosephs@nt.catholic.edu.au
St John's Catholic College,"54 Salonika St, The Gardens, NT","Mail Bag 13, Darwin, 0820, NT",admin.stjohns@nt.catholic.edu.au
St Francis Xavier Catholic School,"n/a, Nauiyu, NT","CMB 28, Daly River, 0822, NT",admin.dalyriver@nt.catholic.edu.au
Shepherdson Pre School,"Wakirana St, Galiwinku, NT",", , , ",
St Francis of Assisi Catholic Primary School,"56 Challoner Cct, Humpty Doo, NT","PO Box 921, Humpty Doo, , NT",admin.sfas@nt.catholic.edu.au
Shepherdson College,"Wakirana St, Galiwinku, 0822, NT","PMB 74, via WINELLIE, 0822, NT",principal.shepherdson@education.nt.gov.au
SEDA College NT,"5/90 Ross Smith Ave, Fannie Bay, 0820, NT","5/90 Ross Smith Ave, Fannie Bay, 0820, NT",info@sedacollege.nt.edu.au
School of Sport Education NT,"1 Nemarluk Drive, Ludmilla, NT, 0820, NT","PO Box 42896, Casuarina, 0811, NT",admin.ssnt@education.nt.gov.au
Sattler Christian College,"15 Sattler Cres, Freds Pass, NT","PO Box 1138,, Coolalinga, 0839, NT",admin.scc@ntschools.net
Sadadeen Primary School,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 2707, ALICE SPRINGS, 0871, NT",sadadeen.primary@education.nt.gov.au
Sanderson Middle School,"60 Matthews Rd, Malak, 0812, NT","PO Box 189, SANDERSON, 0813, NT",sanderson.middle@education.nt.gov.au
Royal Darwin Hospital School,"Rocklands Drive, Tiwi, Tiwi, 0810, NT","C/o Nakara Primary School, Goodman St, NAKARA, 0810, NT",tania.nicholls@education.nt.gov.au
Sacred Heart Catholic Primary School,"34 Emery Ave, Woodroffe, NT","PO Box 271, Palmerston, 0831, NT",admin.shps@nt.catholic.edu.au
Ross Park Primary School,"7 Winnecke Ave, Alice Springs, 0870, NT","PO Box 364, ALICE SPRINGS, 0871, NT",rosspark.school@ntschools.net
Rosebery Primary School,"Belyuen Road Rosebery, Rosebery, 0832, NT","PO Box 650, PALMERSTON, 0832, NT",roseberyps.admin@education.nt.gov.au
Rona Glynn Pre School,"2 Mckay St, Alice Springs, NT",", , , ",
Rockhampton Downs School,"Community ID 259, Wogyala, NT","PMB 34, Tennant Creek, 0862, NT",TBA
Robinson River School,"N/A, Robinson River, NT","PMB 145, Katherine, 0851, NT",james.powdrell@education.nt.gov.au
Ramingining School,"133Lewangu Drive, Ramingining, 0822, NT","PMB 125, via WINNELLIE, 0822, NT",deanne.kathagen@education.nt.gov.au
Ramingining Pre School,"N/A, Ramingining, NT",", , , ",
Pularumpi School,"Pularumpi, Pirlangimpi, NT","PMB 51, via Winnellie, 0822, NT",sue.heysen@education.nt.gov.au
Pine Creek School,"N/A, Pine Creek, 0847, NT","PO Box 196, Pine Creek, 0847, NT",jo.moon@education.nt.gov.au
Pigeon Hole School,"N/A, Pigeon Hole, NT","PMB 10, via Katherine, 0852, NT",anne.pollock@education.nt.gov.au
Peppimenarti School,"N/A, Peppimenarti, NT","PMB 49, via Winnellie, 0822, NT",eric.barrows@education.nt.gov.au
Parap Pre School,"61 Ross Smith Ave, Parap, NT",", , , ",
Parap Primary School,"52 Urquhart Street, Parap, 0820, NT","PO Box 69, PARAP, 0804, NT",parapps.office@education.nt.gov.au
Papunya School,"N/A, Papunya, 0872, NT","PMB 77, via Alice Springs, 0872, NT",christine.munro@education.nt.gov.au
Palmerston College,"10 Tilston Ave, Driver, 0830, NT","PO Box 8, PALMERSTON, , NT",Palmerston.college@education.nt.gov.au
Palmerston Christian College,"50 Waler Road, Marlow Lagoon, Marlow Lagoon, NT","PO Box 113, Palmerston, 0831, NT",admin.pcc@ntschools.net
Owen Springs Education Centre,"Stuart Highway, Alice Springs, 0870, NT","PO Box 4856, Alice Springs, 0871, NT",joel.hohn@education.nt.gov.au
Our Lady of the Sacred Heart Thamarrurr Catholic College,"n/a, Wadeye (Port Keats), NT","Wadeye, Port Keats, via Winnellie, 0822, NT",admin.olshtcs@nt.catholic.edu.au
Our Lady of the Sacred Heart Catholic College - Alice Springs,"Sadadeen Rd, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au
OLSH Primary School,"5 Bath St, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au
OLSH College - Traeger Campus,"8 Traeger Ave, Alice Springs, NT","PO Box 2508, Alice Springs, 0871, NT",admin.olshalice@nt.catholic.edu.au
O'Loughlin Catholic College,"70 Mueller Rd, Karama, NT","P O Box 41911, Casuarina, 0811, NT",secretary.oloughlin@nt.catholic.edu.au
Nyangatjatjara College - Mutitjulu Campus,"n/a, Yulara, NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.or.au
Nyirripi School,"N/A, Nyirripi, NT","PMB 125, via Alice Springs, 0872, NT",clarice.oleary@education.nt.gov.au
Nyangatjatjara College - Imanpa Campus,"not available, not available, NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.org.au
Nyangatjatjara College - Docker Rvr Campus,"N/A, Kaltukatjara (Docker River), NT","PO Box 171, Yulara, 0872, NT",ceo@nyangatjatjaracollege.org.au
Nyangatjatjara College,"N/A, Kaltukatjara, NT","PO Box 171, Yulara, 0872, NT",ncollege@octa4.net.au
Numbulwar School,"N/A, Numbulwar, NT","PMB 68, WINELLIE, 0822, NT",numbulwar.school@education.nt.gov.au
Numbulwar Pre School,"N/A, Numbulwar, NT",", , , ",
NT Music School,"60 Matthews Rd, Wulagi 0812, NT","PO Box 455, Sanderson, 0813, NT",nt.musicschool@education.nt.gov.au
Ntaria School,"N/A, Hermannsburg (Ntaria), NT","PMB 4, via Alice Springs, 0872, NT",emma.langton@education.nt.gov.au
NT School of Distance Education,"The Bullocky Point Education Precinct, Atkins Dr, The Gardens, 0820, NT","PO Box 40471, Casuarina, 0811, NT",ntsde.admin@education.nt.gov.au
NT Christian College,", tba, NT","PO Box 84, Karama, 0812, 110 Amy Johnson Ave",admin.ntcc@ntschools.net
Nightcliff Primary School,"17 Pandanus St, Nightcliff, 0810, NT","PO BOX 798, NIGHTCLIFF, 0810, NT",nightcliff.ps@education.nt.gov.au
Nightcliff Pre School,"17 Pandanus St, Nightcliff, NT",", , , ",
Nightcliff Middle School,"90 Aralia St, Rapid Creek, 0810, NT","90 Aralia St, NIGHTCLIFF, 0810, NT",admin.nightms@education.nt.gov.au
Nhulunbuy Primary School,"60 Chesterfield Cct, Nhulunbuy, 0880, NT","PO Box 321, NHULUNBUY, 0881, NT",nps.frontoffice@education.nt.gov.au
Nhulunbuy Pre School,"36 Chesterfield Cct, Nhulunbuy, NT",", , , ",
Nhulunbuy Christian College,"N/A, Nhulunbuy, NT","PO Box 621, Nhulunbuy, 0881, NT",admin.ncc@ntschools.net
Nhulunbuy High School,"51 Matthew Flinders Way, Nhulunbuy, 0880, NT","PO Box 1096, NHULUNBUY, 0881, NT",nhulunbuy.high@education.nt.gov.au
Ngukurr Pre School,"Bawuda St, Ngukurr, NT",", , , ",
Ngukurr School,"Bawuda St, Ngukurr, 0852, NT","PMB 138, KATHERINE, 0851, NT",ngukurr.cec@education.nt.gov.au
Nganmarriyanga School,"N/A, Palumpa, NT","PMB 85, via WINNELLIE, 0822, NT",jen.robson@education.nt.gov.au
Nganambala School,"n/a, Emu Point, NT","PMB 218, Via Winnellie, 0822, NT",samuel.sailor@education.nt.gov.au
Newcastle Waters School,"11 Drovers Dr, Newcastle Waters, NT","Newcastle Waters Station, via Elliott, 0862, NT",dave.oke@education.nt.gov.au
Neutral Junction School,"Stuart Hwy, Neutral Junction, NT","Neutral Junction, via Alice Springs, 0872, NT",ruth.rawnsley@education.nt.gov.au
Nawardekken Academy Kabulwarnamyo School,"Building 2, Kabulwarnamyo, tba, NT","tba, PO Box 37620 Winnellie  NT, 0821, NT",admin@nawarddeken.org.au
Nemarluk School,"30 Styles St, Alawa, 0810, NT","PO Box 39729, WINNELLIE, 0821, NT",admin.nemarluk@education.nt.gov.au
Nawarddeken Academy Manmoyi School,"Building 6, Mamadawerre & Manmoyi Community, tba, NT","tba, PO Box 37620 Winnellie  NT, 0821, NT",admin@nawarddeken.org.au
Nawarddeken Academy Mamadawerre School,"Building 6, Mamadawerre & Manmoyi Community, tba, NT","tba, PO Box 37620 Winnellie  NT, 0821, NT",admin@nawarddeken.org.au
Nathalie Gorey Pre School,"80 Spearwood Rd, Alice Springs, NT",", , , ",
Nakara Pre School,"35 Nakara Tce, Nakara, NT",", , , ",
Nakara Primary School,"35 Nakara Tce, Nakara, 0810, NT","35 Nakara Tce, Nakara, 0810, NT",nakara.primary@education.nt.gov.au
Mutitjulu School,"Mutitjulu, Ayers Rock, NT","PO Box 121, Yulara, 0872, NT",mutitjulu.school@education.nt.gov.au
Murrupurtiyanuwu Catholic Primary School,"Kerinauia Highway, Nguiu, NT","PO Box 45, Wurrumiyanga, Bathurst Island, via Winnellie, 0822, NT",admin.mcs@nt.catholic.edu.au
Murray Downs School,"Outstation, Murray Downs(Imangara), NT","PMB 48, Alice Springs, 0872, NT",mitchell.valentine@education.nt.gov.au
Mulga Bore School,"n/a, Mulga Bore Community, NT","PMB 18, via Alice Springs, 0872, NT",david.ward1@education.nt.gov.au
Mount Allan School,"N/A, Yuelamu, NT","PMB  6, Mount Allan School via Alice Springs, 0872, NT",dowreen.lata@education.nt.gov.au
Moulden Primary School,"103 Bonson Tce, Moulden, 0830, NT","PO Box 80, PALMERSTON, 0831, NT",moulden.primary@education.nt.gov.au
Moulden Pre School,"103 Bonson Tce, Moulden, NT",", , , ",
Mother Teresa Catholic Primary School,"Ginger St, Zuccoli, NT","PO Box 1125, Palmerston, 0830, ",principal.motherteresa@nt.catholic.edu.au
Moil Primary School,"37 Lanyon Tce, Moil, 0810, NT","37 Lanyon Tce, MOIL, 0810, NT",admin.moilsch@education.nt.gov.au
Moil Pre School,"Moil Crescent, Moil, NT",", , , ",
Minyerri School,"N/A, Minyerri (Hodgson Downs), NT","PMB 40, KATHERINE, 0851, NT",garry.reeve@education.nt.gov.au
Minyerri Pre School,"N/A, Minyerri (Hodgson Downs), NT",", , , ",
Mimik-Ga Centre,"4 Henbury Ave, Wanguri, 0810, NT","PO Box 40519, Casuarina, 0811, NT",admin.mimik-ga@education.nt.gov.au
Milyakburra School,"N/A, Milyakburra (Bickerton Island), NT","PMB 5, Bickerton Island, via Winnellie, 0822, NT",leah.carroll@education.nt.gov.au
Millner Primary School,"41 Sabine Rd, Millner, 0810, NT","41 Sabine Rd, MILLNER, 0810, NT",admin.millnerps@education.nt.gov.au
Millner Pre School,"41 Sabine Rd, Millner, NT",", , , ",
Milkwood Steiner School,"107 Boulter Road, Berrimah NT 0828, Marrara, NT","PO Box 357, Berrimah, 0828, NT",admin@milkwood.nt.edu.au
Milikapiti School,"N/A, Milikapiti (Snake Bay), NT","PMB 96, via Winnellie, 0822, NT",gabrielle.field@education.nt.gov.au
Milingimbi School,"N/A, Milingimbi, 0822, NT","PMB 54, Milingimbi, via WINNELLIE, 0822, NT",adam.dicks1@education.nt.gov.au
Middle Point School,"615 Anzac Pde, Middle Point, NT","PO Box 96, Humpty Doo, 0836, NT",middle.pt@education.nt.gov.au
Mbunghara School,"N/A, Mbunghara, NT","PMB 242, via Alice Springs, 0872, NT",mbunghara.school@education.nt.gov.au
Mataranka School,"Roper Terrace, Mataranka, 0852, NT","PO Box 4022, Mataranka, 0852, NT",telka.zotz@education.nt.gov.au
Marrara Christian College,"110 Amy Johnson Ave, Marrara, NT","PO Box 84, Karama, 0812, NT",admin.mcc@ntschools.net
Mapuru Yirralka College,"Dhabulu Rd, Mapuru, NT 0822, NT","PMB 301, Winnellie, 0821, NT",debra.bateman@ntschools.net
Manyallaluk School,"N/A, Manyallaluk (Eva Valley), NT","PO Box 271, Katherine, 0851, Nt",admin.manyasch@education.nt.gov.au
Manunda Terrace Pre School,"31 Manunda Tce, Karama, NT",", , , ",
Manunda Terrace Primary School,"31 Manunda Tce, Karama, 0812, NT","31 Manunda Tce, KARAMA, 0812, NT",manunda.school@education.nt.gov.au
Maningrida College,"n/a, Maningrida, 0822, NT","PMB 67, via Winnellie, 0822, NT",maningrida.cec@education.nt.gov.au
Mamaruni School,"N/A, Minjilang (Croker Is), NT","PMB 47, via Winnellie, 0822, NT",tracy.brislane@education.nt.gov.au
Malak Primary School,"45 Malak Cres, Malak, 0812, NT","45 Malak Crescent, MALAK, 0812, NT",admin.malak@education.nt.gov.au
Malak Pre School,"45 Malak Cres, Malak, NT",", , , ",
Mackillop Catholic College,"285 Farrar Boulevard, Johnston, NT","P O Box 2608, Palmerston, 0831, NT",mackillopcollege@nt.catholic.edu.au
MacFarlane Primary School,"42 Grevillea Rd, Katherine East, 0850, NT","42 Grevillea Road, KATHERINE EAST, 0850, NT",admin.macfasch@education.nt.gov.au
MacFarlane Pre School,"Grevillea Rd, Katherine East, NT",", , , ",
Ludmilla Primary School,"41 Bagot Rd, Ludmilla, 0820, NT","PO Box 39945, WINNELLIE, 0821, NT",admin.ludmilla@education.nt.gov.au
Ludmilla Pre School,"41 Bagot Rd, Ludmilla, NT",", , , ",
Ltyentye Apurte Catholic School,"N/A, Santa Teresa (Ltyenty Apurte), NT","Santa Teresa, PMB 221, via A/Springs, 0871, NT",la.admin@nt.catholic.edu.au
Living Waters Lutheran School,"Cnr Albrecht Dr & Kramer St, Alice Springs, NT","PO Box 8869, Alice Springs, 0871, NT",lisa.goldsworthy@ntschools.net
Leanyer Pre School,"114 Leanyer Dr, Leanyer, NT",", , , ",
Leanyer Primary School,"114 Leanyer Drive,, Leanyer, 0812, NT","114 Leanyer Drive, LEANYER, 0812, NT",admin.leanyer@education.nt.gov.au
Laynhapuy Homelands School,"Galpu Rd, Yirrkala, NT","PMB 747, Nhulunbuy, 0881, NT",lhs.admin@ntschools.net
Larrakeyah Primary School,"3 Packard St, Larrakeyah, 0820, NT","PO Box 412, DARWIN, 0801, NT",larrakeyah.admin@education.nt.gov.au
Larrakeyah Pre School,"3 Packard St, Larrakeyah, NT",", , , ",
Larapinta Primary School,"22 Albrecht Dr, Alice Springs, NT","PO Box 9021, ALICE SPRINGS, 0871, NT",larapinta.primary@education.nt.gov.au
Larapinta Pre School,"22 Albrecht Dr, Alice Springs, NT",", , , ",
Laramba School,"N/A, Laramba (Napperby), NT","PMB 213, via Alice Springs, 0872, NT",laramba.school@education.nt.gov.au
Lajamanu Pre School,"N/A, Lajamanu (Hooker Ck), NT",", , , ",
Lajamanu School,"N/A, Lajamanu ( Hooker Ck), NT","PMB 63, via Katherine, 0851, NT",admin.lajamcec@education.nt.gov.au
Kintore Street School,"11 Kintore St, Katherine, 0872, NT","PO Box 1931, KATHERINE, 0851, NT",kintore.admin@education.nt.gov.au
Kintore Street Pre School,"11 Kintore St, Katherine, NT",", , , ",
Kiana School,"N/A, Kiana, NT","PMB 33, via Tennanat Creek, 0861, NT",tba
Katherine South Pre School,"Riverbank Drive, Katherine, NT",", , , ",
Katherine South Primary School,"Riverbank Dr, Katherine, 0850, NT","PO Box 721, KATHERINE, 0851, NT",admin.kathesch@education.nt.gov.au
Katherine School Of The Air,"101 Giles St, Katherine, 0850, NT","PO Box 531, KATHERINE, 0851, NT",kath.soa@education.nt.gov.au
Katherine Flexible Learning Centre,"5 Kintore St, Katherine, 0850, NT","PO Box 189, Katherine, 0851, NT",tba
Karama Primary School,"37 Livistona Rd, Karama, 0812, NT","PO Box 103, Karama, 0813, NT",karama.school@education.nt.gov.au
Karama Pre School,"37 Livistona Rd, Karama, NT",", , , ",
Kalkaringi School,"Whitlam st, Kalkaringi (Wave hill), NT","PMB 41, KATHERINE, 0852, NT",anne.saunders@education.nt.gov.au
Katherine High School,"Grevillea Rd, Katherine East, 0850, NT","PO Box 189, KATHERINE, 0851, NT",admin.kathehs@education.nt.gov.au
Kalkaringi Pre School,"Whitlam St, Kalkaringi (Wave hill), NT",", , , ",
Jingili Primary School,"17 Rindberg St, Jingili, 0810, NT","PO Box 40600, CASUARINA, 0810, NT",jingili.school@education.nt.gov.au
Jingili Preschool,"10 Jingili Tce, Jingili, NT",", , , ",
Jabiru Pre School,"40 Waterhouse Rd, Jabiru, NT",", , , ",
Jilkminggan School,"N/A, Jilkminggan (Duck Creek), NT","PO Box 4054, Mataranka, 0852, NT",admin.jilkmsch@education.nt.gov.au
Jabiru Area School,"40 Waterhouse Rd, Jabiru, NT","PO Box  246, Jabiru, 0886, NT",jabiru.areaschool@education.nt.gov.au
Ida Standley Pre School,"15 Parke Cres, Alice Springs, NT",", , , ",
Humpty Doo Primary School,"50 Freds Pass Rd, Humpty Doo, 0836, NT","PO Box 46, HUMPTY DOO, 0836, NT",admin.humptydoo@education.nt.gov.au
Humpty Doo Pre School,"50 Freds Pass Rd, Humpty Doo, NT",", , , ",
Howard Springs Primary School,"295 Whitewood Rd, Howard Springs, 0835, NT","PO Box  171, HOWARD SPRINGS, 0835, NT",howard.springs@education.nt.gov.au
Howard Springs Pre School,"295 Whitewood Rd, Howard Springs, NT",", , , ",
Holy Spirit Catholic School,"Gsell Street, Casuarina, NT","PO Box 40030, Casuarina, 0810, NT",admin.holyspirit@nt.catholic.edu.au
Holy Family Catholic School,"Calytrix Road, Karama, NT","PO Box 40870, Casuarina, 0812, NT",admin.holyfamily@nt.catholic.edu.au
Henbury School,"11 Henbury Avenue, Tiwi, 0810, NT","11 Henbury Avenue, Tiwi, 0810, NT",henbury.admin@education.nt.gov.au
Harts Range School,"N/A, Atitjere (Harts Range), NT","PMB 162, via Alice Springs, 0871, NT",kylie.mckay@education.nt.gov.au
Haasts Bluff School,"N/A, Haasts Bluff (Ikuntji), 0872, NT","Haasts Bluff, via Alice Springs, 0872, NT",geoff.gillman@education.nt.gov.au
Haileybury Rendall School,"6057 Berrimah Road, Berrimah, NT","PO Box 241, Berrimah, 0828, NT",hrs.admin@haileybury.com.au
Gunbalanya School,"N/A, Gunbalanya, NT","PMB 66, Gunbalanya, 0822, NT",admin.gunbacec@education.nt.gov.au
Gunbalanya Pre School,"N/a, Gunbalanya, NT",", , , ",
Gray Primary School,"22 Victoria Drive, Gray, 0830, NT","Victoria Drive, GRAY, 0830, NT",admin.graysch@education.nt.gov.au
Gray Pre School,"22 Victoria Dr, Gray, NT",", , , ",
Good Shepherd Lutheran School,"Cnr Emery Ave and Temple Tce, Palmerston, NT","PO Box 1146, Howard Springs, 0831, NT",admin@goodshepherd.nt.edu.au
Good Shepherd Lutheran College,"Cnr Whitewood Rd and Kundook Place, Howard Springs, NT","PO Box 1146, Howard Springs, 0831, NT",admin@goodshepherd.nt.edu.au
Good Shepherd - Leanyer Campus,"94 Leanyer Drive, Leanyer, NT","PO Box 1146, Howard Springs, 0831, NT",admin@goodshepherd.nt.edu.au
Girraween Primary School,"25 Carruth Rd, Girraween, 0835, NT","PO Box 1042, HOWARD SPRINGS, 0835, NT",admin.girrasch@education.nt.gov.au
Girraween Pre School,"25 Carruth Rd, Girraween, NT",", , , ",
Gillen Primary School,"55 Milner Rd, Alice Springs, 0870, NT","PO Box 769, ALICE SPRINGS, 0871, NT",gillen.school@education.nt.gov.au
Gillen Pre School,"12 Newland St, Alice Springs, NT",", , , ",
Gawa Christian School,"Community ID 508, Gawa, NT","PMB 257, Elcho Island via Winnellie, 0822, NT",admin.gcs@ntschools.net
